attribute_set,attribute_group,frontend_label_0,attribute_code,frontend_label_1,description,frontend_input,options,note,is_global,is_filterable,is_required,default_value_text,is_unique,frontend_class,is_used_in_grid,is_searchable,search_weight,is_visible_in_advanced_search,is_filterable_in_grid,is_filterable_in_search,position,is_used_for_promo_rules,is_html_allowed_on_front,is_visible_on_front,used_in_product_listing,used_for_sort_by
Default,Product Details,Photography type,photography_type,,,Dropdown,"Travel, Street, Landscape & Ultra-wide, Sports & Action, Macro, Portrait, General Use",Used for Lenses Product Finder (Photography Type Selection step),Global,No,No,,,,,No,,,,No,,No,No,No,Yes,No
Default,Product Details,Usage,usage,,,Dropdown,"Hobby, Commercial, Racing",Used for Drones Product Finder,Global,,,,,,,,,,,No,,No,No,No,Yes,No
Default,Product Details,Type,type,,,Dropdown,"Full Frame DSLR, APS-C DSLR, Micro Four-Thirds, Full Frame Mirrorless, APS-C Mirrorless​",Used for Lenses Product Finder (Camera Type Selection step),Global,,,,,,,,,,,No,,No,No,No,Yes,No
Default,Product Details,What's in the box,whats_in_the_box,,,Text Editor,,Displayed on PDP,Global,,,,,,,,,,,,,,,,,
Default,Product Details,Qualifies for free shipping,qualifies_for_free_shipping,,,Yes/No,,Displayed on PDP,Global,,,,,,,,,,,,,,,,,
Default,Product Details,Pronto Stock Status,pronto_stock_status,,,Dropdown,"Empty, S, K, I, Z, O",Displayed on PDP,Global,,,,,,,,,,,,,,,,,
Default,Product Details,Product Background Image Desktop,product_image_background_desktop,,,Text Editor,,Displayed on PDP,Global,,,,,,,,,,,,,,,,,
Default,Product Details,Product Background Image Mobile,product_image_background_mobile,,,Text Editor,,Displayed on PDP,Global,,,,,,,,,,,,,,,,,
Default,Product Details,Color,color,,,Multiple Select,,Displayed on PDP. Visual Swatch.,Global,Filterable (with results),,,,,,,,,,,2,,,,,
Default,Product Details,Specification,specification,,,Text Editor,,"Displayed on PDP
NOTE: KayWeb custom_spec_text attribute will be mapped to Magento ""Specification"" attribute to be displayed on PDP in ""Specs"" tab",Global,,,,,,,,,,,,,,,,,
Default,Product Details,Brand,brand,,,Dropdown,"Canon, Nikon, Olympus, Fujifilm, Sony, Panasonic, Leica, Pentax, GoPro, Sigma, Hasselblad, Tasco, Ricoh, Polaroid, Lomography, Bushnell, Agfaphoto, Gerber, Kodak, Insta360, Zoom, Stealth Cam, Ilford, Celly, Tenba, Bowens, Elinchrom, Nissin, Cactus, Dot Line, Metz, Godox, Gary Fong, Lastolite, Litra, Manfrotto, PocketWizard, Rotolight, Spiffy Gear, Sto-fen, Xlite, Hahnel, Magmod, Crumpler, Tamron, Syrp, Samsonite, Kowa, Shimoda, Rode, Lowepro, Think Tank, Ona, Pelican, Peak Design, Tamrac, Mindshift Gear, Kata, Joby, Inca, HPRC, Fotospeed, Blackrapid, Tether Tools, Weifeng, Fotopro, Velbon, Benro, Gitzo, Laowa, Mefoto, Optex, Feiyutech, Slik, Zhiyun Tech, Vanguard, Glanz, Meade, 3 Legged Thing, Movcam, SLR Magic, Hoya, B+W, Cokin, Fotodiox, Kenko, DJI, H&Y, Massa, Zeiss, Haida, Polar Pro, Vivitar, Chasing Innovations, Gladius, Zero-X, Parrot, Kaiser Baas, Wenpod, GoScope, Removu, ExpoImaging, Lume Cube, VR Shinecon, Zero, Lascala, Steiner, Konus, B&S, Acuter, Skywatcher, Burris, Fujinon, Minox, Optex, Celestron, G-Technology, Promise, Silicon Power, Sandisk, Lexar, Samsung, WD, Glanz, Angelbird, Lacie, Atomos, Sirix, Pulse Media, Barber Shop, 360Fly, BlackMagic, Camranger, Datacolor, Dicapac, Techart, Epson, FVE, GGS, Green Clean, Hiti, Ilford, Impossible, Ion, IoShutter, Jupio, Kinotehnik, Knog","Used for Cameras/Lenses Product Finders, Promotions (Catalog/Cart price rules), filtering on PLP",Global,,,,,,,Yes,,,,,,,,,Yes,
Default,Product Details,Mount type,mount,,,Dropdown,,Displayed on PDP,Global,Filterable (with results),,,,,,,,,,,1,,,Yes,Yes,
Default,Product Details,Key Features,key_features,,,Text Field,,"Displayed on PDP, used for Drones Product Finder",,,,,,,,,,,,,,,,,,
Default,Product Details,Subject,subject,,,Dropdown,"General Use, Travel, Wedding and Events, Video, Sports & Action","Used for Cameras Product 
Finder",Global,No,No,,,,,No,,,,,,,,,Yes,
Default,Product Details,Experience,experience,,,Dropdown,"Beginner, Enthusiast, Professional",Used for Cameras Product Finder,Global,No,No,,,,,No,,,,,,,,,Yes,
Default,Product Details,Camera Type,camera_type,,,Dropdown,"Interchangeable Lens, Compact",Used for Cameras Product Finder,Global,No,No,,,,,No,,,,,,,,,,
Default,Product Details,Size,size,,,Dropdown,"55 cm, 65 cm, 75 cm",,Global,Filterable (with results),,,,,,,,,,No,0,,,,,
Default,Product Details,APN,apn,,,Text Field,,,Global,,,,,,,,,,,,,,,,,
Default,Product Details,Unit of Measure,uom,,,Text Field,,,Global,,,,,,,,,,,,,,,,,
Default,Product Details,Conversion,conversion,,,Text Field,,,Global,,,,,,,,,,,,,,,,,
Default,Product Details,Barcode1,barcode1,,,Text Field,,,Global,,,,,,,,,,,,,,,,,
Default,Product Details,Barcode2,barcode2,,,Text Field,,,Global,,,,,,,,,,,,,,,,,
Default,Product Details,Barcode3,barcode3,,,Text Field,,,Global,,,,,,,,,,,,,,,,,
Default,Product Details,Barcode4,barcode4,,,Text Field,,,Global,,,,,,,,,,,,,,,,,
Default,Product Details,Stock Condition,stock_condition,,,Dropdown,"O, T, Other",,Global,,,,,,,,,,,,,,,,,
Default,Product Details,Stock Group,stock_group,,,Text Field,,,Global,,,,,,,,,,,,,,,,,
Default,Product Details,Show Overlay,overlay_id,,,Multiple Select,,Displayed on PDP,Global,,,,,,,,,,,,,,,,,
Default,Attributes,Manufacturer,manufacturer,,,Dropdown,,,Global,,,,,,,,,,,,,,,,,
Cameras,Product Details,Camera Model,camera_model,,,Dropdown,,,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,1,Yes,Yes,No,No,No
Cameras,Product Details,Media Type,media_type,,,Multiple Select,"CompactFlash, SD, Mamory Stick, CFast, XQD, MicroSD, Dual Slot SD, Dual Slot SD+XQD, Dual Slot CompactFlash, Dual Slot CompactFlash+CFast, Dual Slot CompactFlash+SD, Dual Slot XQD",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,40,No,Yes,No,No,No
Cameras,Product Details,Configuration,configuration,,,Dropdown,"Body Only, Body & Kit, Body & Lens, Body & Lens & Kit",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,10,Yes,Yes,No,No,No
