Conditions,Conditions
"Rule conditions (leave blank to use only Regular expression)","Rule conditions (leave blank to use only Regular expression)"
Duplicateinfo,Duplicateinfo
"Store Id","Store Id"
"Category Path","Category Path"
"Category Id","Category Id"
"Current request path","Current request path"
"URL key","URL key"
Redirects,Redirects
"Canonical Rewrite","Canonical Rewrite"
"Cross Links","Cross Links"
"Site Map","Site Map"
Settings,Settings
"User Manual","User Manual"
"Get Support","Get Support"
"Redirect Manager","Redirect Manager"
"Add New Redirect","Add New Redirect"
"Import/Export Redirects","Import/Export Redirects"
"Rewrite Manager","Rewrite Manager"
"Add Rewrite","Add Rewrite"
"Store group","Store group"
Hreflang,Hreflang
Store,Store
Add,Add
Stores,Stores
button_label,button_label
"URL Pattern","URL Pattern"
Option,Option
"Meta title","Meta title"
"Meta keywords","Meta keywords"
"Meta description","Meta description"
"Title (H1)","Title (H1)"
"SEO description","SEO description"
"Product short description","Product short description"
"Product description","Product description"
"Add SEO Template","Add SEO Template"
SEO,SEO
"This row no longer exists.","This row no longer exists."
"New Canonical Rewrite","New Canonical Rewrite"
"%1 item(s) was removed","%1 item(s) was removed"
"Please select item(s)","Please select item(s)"
"Edit Canonical Rewrite ID: %1","Edit Canonical Rewrite ID: %1"
"Total of %1 record(s) were successfully disabled","Total of %1 record(s) were successfully disabled"
"Total of %1 record(s) were successfully enabled","Total of %1 record(s) were successfully enabled"
"Row was saved.","Row was saved."
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""' . . '"" target=""_blank"">Remove Parent Category Path</a>"" button to change category urls.","Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""' . . '"" target=""_blank"">Remove Parent Category Path</a>"" button to change category urls."
"Category duplicate urls","Category duplicate urls"
"Add Redirect","Add Redirect"
"Item was successfully deleted","Item was successfully deleted"
"Edit Redirect","Edit Redirect"
"The item does not exist.","The item does not exist."
"Total of %1 record(s) were successfully deleted","Total of %1 record(s) were successfully deleted"
"Item was successfully saved","Item was successfully saved"
"Unable to find an item to save","Unable to find an item to save"
"There is no sample file for this entity.","There is no sample file for this entity."
"Missing canonical URL.","Missing canonical URL."
"%1 canonical on the page.","%1 canonical on the page."
"Canonical created not using Mirasvit SEO extension.","Canonical created not using Mirasvit SEO extension."
"There is no H1 tag on the page.","There is no H1 tag on the page."
