"Run Import","Run Import"
"Import Cross Links","Import Cross Links"
"Import/Export Links","Import/Export Links"
"Import File (.csv)","Import File (.csv)"
"Add New Link","Add New Link"
" [deleted]"," [deleted]"
"All Store Views","All Store Views"
"There is no sample file for this entity.","There is no sample file for this entity."
"New Link","New Link"
"Item was successfully deleted","Item was successfully deleted"
"Edit Link '%1'","Edit Link '%1'"
"The Link does not exist.","The Link does not exist."
"Link Manager","Link Manager"
"Please select item(s)","Please select item(s)"
"Total of %1 record(s) were successfully deleted","Total of %1 record(s) were successfully deleted"
"Total of %1 record(s) were successfully disabled","Total of %1 record(s) were successfully disabled"
"Total of %1 record(s) were successfully enabled","Total of %1 record(s) were successfully enabled"
"Link was successfully saved","Link was successfully saved"
"Unable to find link to save","Unable to find link to save"
First,First
Last,Last
Random,Random
"CMS Page","CMS Page"
"CMS Block","CMS Block"
"Category Description","Category Description"
"Product Short Description","Product Short Description"
"Product Full Description","Product Full Description"
"Product Attributes","Product Attributes"
"Seo Description","Seo Description"
"Blog MX Post Content","Blog MX Post Content"
"Mageplaza Blog Post Content","Mageplaza Blog Post Content"
"_self (in current window)","_self (in current window)"
"_blank (in new window)","_blank (in new window)"
"_self (in own frameset)","_self (in own frameset)"
"_top (in full current browser window)","_top (in full current browser window)"
Back,Back
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
Save,Save
Edit,Edit
"Cross Links","Cross Links"
"Add links on:","Add links on:"
"Don't add links inside tags","Don't add links inside tags"
"Skip cross links for a page","Skip cross links for a page"
"Paths of templates to add links inside","Paths of templates to add links inside"
"Links limit per page","Links limit per page"
"General Information","General Information"
Keyword,Keyword
URL,URL
"URL Target","URL Target"
"URL Title","URL Title"
Nofollow,Nofollow
"Number of substitutions","Number of substitutions"
"Sort order","Sort order"
Occurence,Occurence
"Is Active","Is Active"
"Active From","Active From"
"Active To","Active To"
"Visible in Store View","Visible in Store View"
"Change status","Change status"
Active,Active
Inactive,Inactive
"Delete items","Delete items"
"Are you sure you want to delete the selected items?","Are you sure you want to delete the selected items?"
ID,ID
"Sort Order","Sort Order"
"Store View","Store View"
Status,Status
"Is Nofollow","Is Nofollow"
"Max Replacements","Max Replacements"
